,arrivals
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,2.0
93,5.0
94,4.0
95,4.0
96,4.0
97,5.0
98,8.0
99,4.0
100,3.0
101,2.0
102,1.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,1.0
115,2.0
116,1.0
117,2.0
118,3.0
119,1.0
120,1.0
121,3.0
122,6.0
123,5.0
124,3.0
125,4.0
126,2.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,2.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,2.0
146,7.0
147,6.0
148,4.0
149,4.0
150,3.0
151,1.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,2.0
164,2.0
165,2.0
166,0.0
167,2.0
168,2.0
169,3.0
170,5.0
171,7.0
172,9.0
173,2.0
174,1.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,2.0
187,3.0
188,1.0
189,1.0
190,1.0
191,0.0
192,2.0
193,3.0
194,8.0
195,5.0
196,4.0
197,3.0
198,5.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,2.0
211,4.0
212,1.0
213,2.0
214,1.0
215,3.0
216,3.0
217,4.0
218,5.0
219,6.0
220,5.0
221,2.0
222,2.0
223,1.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,2.0
236,4.0
237,2.0
238,5.0
239,3.0
240,3.0
241,4.0
242,2.0
243,4.0
244,3.0
245,1.0
246,2.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,1.0
261,5.0
262,4.0
263,4.0
264,5.0
265,6.0
266,8.0
267,5.0
268,3.0
269,2.0
270,1.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,1.0
283,2.0
284,0.0
285,2.0
286,2.0
287,1.0
288,1.0
289,3.0
290,7.0
291,5.0
292,3.0
293,2.0
294,2.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,2.0
307,1.0
308,1.0
309,1.0
310,1.0
311,1.0
312,1.0
313,3.0
314,7.0
315,6.0
316,3.0
317,4.0
318,3.0
319,3.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,2.0
332,2.0
333,2.0
334,0.0
335,2.0
336,2.0
337,3.0
338,4.0
339,8.0
340,9.0
341,2.0
342,1.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,2.0
355,3.0
356,1.0
357,1.0
358,1.0
359,0.0
360,2.0
361,3.0
362,7.0
363,4.0
364,4.0
365,3.0
366,5.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,2.0
379,4.0
380,1.0
381,2.0
382,1.0
383,3.0
384,3.0
385,5.0
386,5.0
387,6.0
388,4.0
389,2.0
390,2.0
391,1.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,1.0
404,5.0
405,2.0
406,5.0
407,3.0
408,3.0
409,4.0
410,3.0
411,4.0
412,3.0
413,1.0
414,2.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,1.0
429,5.0
430,4.0
431,3.0
432,4.0
433,5.0
434,7.0
435,3.0
436,3.0
437,2.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,1.0
451,2.0
452,0.0
453,1.0
454,2.0
455,1.0
456,1.0
457,3.0
458,6.0
459,5.0
460,3.0
461,2.0
462,2.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,2.0
475,1.0
476,1.0
477,1.0
478,3.0
479,0.0
480,1.0
481,2.0
482,7.0
483,6.0
484,3.0
485,4.0
486,3.0
487,1.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,2.0
500,2.0
501,2.0
502,0.0
503,2.0
504,2.0
505,3.0
506,4.0
507,7.0
508,9.0
509,2.0
510,1.0
511,1.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,2.0
523,2.0
524,1.0
525,1.0
526,1.0
527,0.0
528,2.0
529,2.0
530,7.0
531,4.0
532,4.0
533,3.0
534,5.0
535,1.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,1.0
547,4.0
548,1.0
549,3.0
550,1.0
551,2.0
552,3.0
553,4.0
554,6.0
555,7.0
556,4.0
557,1.0
558,2.0
559,1.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,2.0
