name,sum,coords(lat-long)
ΑΘΗΝΑΙΩΝ,60,"[[37.999874278374094, 23.73510360717773], [38.01214066314737, 23.73554348945618], [37.98725915017618, 23.76737594604492], [37.98844296757824, 23.749909400939945], [37.985153599169934, 23.72372031211853], [37.96691141778536, 23.728923797607425], [38.01225900558895, 23.729374408721927], [37.989804333976274, 23.74479174613953], [37.987199958804666, 23.721177577972416], [37.9994684635225, 23.731466531753544], [37.9748967, 23.7459648], [37.9855881, 23.7312077], [37.98400760000001, 23.767815], [37.99269450000001, 23.7680653], [37.984203, 23.760337], [37.98298339999999, 23.7301297], [37.990872, 23.7404957], [37.979013, 23.756334], [37.974782, 23.712332], [37.977023507432, 23.755087582605], [38.018662364117, 23.735263684345], [37.982709783327, 23.727765098691], [37.976884150458, 23.743918671181], [37.9883875, 23.7254986], [37.989247770139, 23.743599107585], [37.970357228487, 23.73959052943], [38.0035994, 23.7465617], [37.996290294519, 23.741545670616], [37.992458277069, 23.713628663228], [37.967149877794, 23.742272520499], [37.985655977209, 23.765315626742], [37.982646984252, 23.756253210332], [37.977825420625, 23.740195884414], [37.980645656606, 23.720808848819], [37.979995, 23.711266], [37.976768842826, 23.714634678738], [37.956762707593, 23.735467938264], [37.965579490254, 23.734912851218], [37.984017, 23.715993], [37.98927, 23.735674], [37.982586, 23.7151477], [37.9976, 23.7098198], [37.95991638, 23.74039705], [37.9837697, 23.7309986], [38.0206507, 23.7293018], [37.9918, 23.773546], [37.98195, 23.75407], [37.9970495, 23.7854664], [37.9574326, 23.7182377], [37.9887544, 23.7261639], [37.9973581, 23.7433281], [37.9794342, 23.7424304], [37.9964586, 23.7695928], [38.00335219999999, 23.7220265], [37.9910301, 23.7239673], [37.9742487, 23.7344386], [37.9921779, 23.7008231], [37.9762214, 23.73532], [37.9762648, 23.7349213], [37.9783502, 23.7249072]]"
ΣΙΚΥΩΝΙΩΝ,4,"[[38.01154049496653, 22.743308544158936], [37.890245, 22.512005], [38.0258449, 22.7323458], [38.0098962, 22.7397551]]"
ΚΙΣΣΑΜΟΥ,2,"[[35.313059085723275, 23.54190945625305], [35.4978, 23.662278]]"
ΡΟΔΟΥ,28,"[[36.37362115314584, 28.144783973693848], [36.3313068989333, 28.201797008514408], [36.4401178187004, 28.232889175415043], [36.3881843071742, 28.200906515121464], [36.343112616244426, 28.202859163284305], [36.4174233037409, 28.19798827171326], [36.24599508232652, 28.162218332290653], [36.033466132190405, 27.93680548667908], [36.32747786700224, 28.207300901412967], [36.071926677783786, 28.0526340007782], [36.4132704132598, 28.1745994091034], [36.40107810913378, 28.228147029876716], [36.24819282588872, 28.16359162330628], [36.25698318206221, 28.158828020095825], [36.38240601548818, 28.19991946220398], [36.43708823869184, 28.233683109283447], [36.41831256327363, 28.17729234695435], [36.395888028102185, 28.233500719070435], [35.972406, 27.897307], [36.36895, 28.195188], [36.220241, 28.112885], [36.4404971, 28.2366584], [36.4161303, 28.1599264], [36.220403, 28.112972], [35.9284721, 27.850954], [36.42133, 28.208687], [36.4349631, 28.2174829], [36.2957367, 28.1626071]]"
ΛΑΡΙΣΑΣ,11,"[[39.60627506405475, 22.441323995590214], [39.60963096298432, 22.436721324920654], [39.5998872, 22.4366709], [39.6242536, 22.4241734], [39.633764, 22.432445], [39.6639191, 22.4435887], [39.7038138, 22.4592166], [39.62599, 22.422752], [39.6118541, 22.4277537], [39.6159101, 22.4297779], [39.6385884, 22.4147777]]"
ΘΕΣΣΑΛΟΝΙΚΗΣ,15,"[[40.64779198054751, 22.917555570602417], [40.64047347601146, 22.9225766658783], [40.59626861602474, 22.954666614532474], [40.611321749182, 22.954806089401245], [40.64056302874726, 22.920881509780887], [40.642052842999725, 22.93275833129883], [40.6145205, 22.9631008], [40.64081900000001, 22.9204487], [40.618457863587, 22.952204182685], [40.6396087, 22.9383586], [40.6026008, 22.9760519], [40.64153, 22.9286], [40.6335997, 22.9363562], [40.5929295, 22.9557284], [40.6400629, 22.9444191]]"
ΚΟΖΑΝΗΣ,5,"[[40.29956781771863, 21.801520586013797], [40.31246235797052, 21.82339668273926], [40.299813295147, 21.799669861794], [40.3030568, 21.8046324], [40.3045245, 21.8060786]]"
ΗΡΩΙΚΗΣ ΠΟΛΕΩΣ ΝΑΟΥΣΑΣ,3,"[[40.61960441353817, 22.127312421798703], [40.6246370354436, 22.130005359649655], [40.6294406, 22.0688549]]"
ΚΑΤΕΡΙΝΗΣ,9,"[[40.27246162525283, 22.537883520126343], [40.252583393404535, 22.508754730224613], [40.24006234990031, 22.58164644241333], [40.23997226205942, 22.586871385574344], [40.3031841, 22.5323808], [40.3308232, 22.5810395], [40.3293898, 22.5815732], [40.2817744, 22.518422], [40.2678411, 22.5200445]]"
ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,5,"[[40.240103298879234, 23.280200958251957], [40.24517259114474, 23.30454468727112], [40.25419646602377, 23.23567628860474], [40.25664466013672, 23.224325180053714], [40.19606885047718, 23.33182811737061]]"
ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ,15,"[[40.57274538357409, 22.991863489151], [40.56090323195374, 22.99038290977478], [40.55830305717813, 22.9913592338562], [40.6004992, 22.996345], [40.6185185, 23.0882284], [40.56248, 23.024152], [40.60854, 22.99176], [40.54104, 22.98855], [40.5543, 22.9932], [40.6008565, 22.9891271], [40.5743516, 22.9953106], [40.5908156, 23.0376387], [40.5689654, 22.9806139], [40.5477806, 22.9872742], [40.5484882, 22.9858872]]"
