,arrivals
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,1.0
543,5.0
544,6.0
545,4.0
546,5.0
547,7.0
548,7.0
549,2.0
550,5.0
551,6.0
552,7.0
553,5.0
554,4.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,1.0
567,5.0
568,4.0
569,5.0
570,4.0
571,6.0
572,6.0
573,4.0
574,4.0
575,4.0
576,7.0
577,7.0
578,3.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,1.0
591,7.0
592,5.0
593,5.0
594,4.0
595,9.0
596,6.0
597,4.0
598,4.0
599,4.0
600,9.0
601,7.0
602,3.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,2.0
616,6.0
617,7.0
618,9.0
619,9.0
620,11.0
621,7.0
622,6.0
623,5.0
624,7.0
625,5.0
626,2.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,2.0
640,5.0
641,4.0
642,9.0
643,7.0
644,7.0
645,6.0
646,7.0
647,4.0
648,4.0
649,1.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,1.0
663,5.0
664,6.0
665,3.0
666,2.0
667,8.0
668,6.0
669,3.0
670,4.0
671,5.0
672,4.0
673,3.0
674,1.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,2.0
687,6.0
688,7.0
689,6.0
690,6.0
691,9.0
692,9.0
693,6.0
694,3.0
695,5.0
696,5.0
697,4.0
698,2.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,1.0
711,6.0
712,4.0
713,5.0
714,6.0
715,10.0
716,6.0
717,4.0
718,5.0
719,6.0
720,7.0
721,6.0
722,2.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,2.0
735,5.0
736,5.0
737,6.0
738,5.0
739,6.0
740,6.0
741,6.0
742,4.0
743,4.0
744,7.0
745,8.0
746,1.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,7.0
760,5.0
761,6.0
762,7.0
763,9.0
764,8.0
765,5.0
766,5.0
767,5.0
768,8.0
769,9.0
770,2.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,1.0
784,6.0
785,7.0
786,10.0
787,10.0
788,11.0
789,6.0
790,6.0
791,6.0
792,6.0
793,3.0
794,2.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,1.0
808,3.0
809,5.0
810,6.0
811,6.0
812,7.0
813,8.0
814,4.0
815,5.0
816,4.0
817,4.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,2.0
831,7.0
832,4.0
833,4.0
834,4.0
835,5.0
836,6.0
837,4.0
838,4.0
839,5.0
840,6.0
841,3.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,2.0
855,8.0
856,5.0
857,6.0
858,8.0
859,6.0
860,6.0
861,6.0
862,6.0
863,3.0
864,8.0
865,6.0
866,2.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,1.0
879,6.0
880,7.0
881,5.0
882,6.0
883,8.0
884,8.0
885,4.0
886,7.0
887,5.0
888,6.0
889,5.0
890,1.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,2.0
903,5.0
904,4.0
905,4.0
906,4.0
907,5.0
908,6.0
909,3.0
910,3.0
911,5.0
912,6.0
913,6.0
914,2.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,1.0
927,8.0
928,5.0
929,6.0
930,5.0
931,9.0
932,7.0
933,4.0
934,4.0
935,7.0
936,8.0
937,7.0
938,2.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,1.0
952,5.0
953,7.0
954,11.0
955,10.0
956,10.0
957,7.0
958,6.0
959,6.0
960,6.0
961,5.0
962,2.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
